month,campus,campus_weight,allocated_spend,target_leads,target_appointments,target_demos,target_enrollments
Aug 26,Campus 20,0.045455,78000.0,187.7718,9.9754,3.9901,1.197
Aug 26,Campus 21,0.045455,78000.0,187.7718,9.9754,3.9901,1.197
Aug 26,Campus 22,0.045455,78000.0,187.7726,9.9749,3.9912,1.198
Sep 26,Campus 1,0.045455,62400.0,147.3287,7.9803,3.1921,0.9576
Sep 26,Campus 2,0.045455,62400.0,147.3287,7.9803,3.1921,0.9576
Sep 26,Campus 3,0.045455,62400.0,147.3287,7.9803,3.1921,0.9576
Sep 26,Campus 4,0.045455,62400.0,147.3287,7.9803,3.1921,0.9576
Sep 26,Campus 5,0.045455,62400.0,147.3287,7.9803,3.1921,0.9576
Sep 26,Campus 6,0.045455,62400.0,147.3287,7.9803,3.1921,0.9576
Sep 26,Campus 7,0.045455,62400.0,147.3287,7.9803,3.1921,0.9576
Sep 26,Campus 8,0.045455,62400.0,147.3287,7.9803,3.1921,0.9576
Sep 26,Campus 9,0.045455,62400.0,147.3287,7.9803,3.1921,0.9576
Sep 26,Campus 10,0.045455,62400.0,147.3287,7.9803,3.1921,0.9576
Sep 26,Campus 11,0.045455,62400.0,147.3287,7.9803,3.1921,0.9576
Sep 26,Campus 12,0.045455,62400.0,147.3287,7.9803,3.1921,0.9576
Sep 26,Campus 13,0.045455,62400.0,147.3287,7.9803,3.1921,0.9576
Sep 26,Campus 14,0.045455,62400.0,147.3287,7.9803,3.1921,0.9576
Sep 26,Campus 15,0.045455,62400.0,147.3287,7.9803,3.1921,0.9576
Sep 26,Campus 16,0.045455,62400.0,147.3287,7.9803,3.1921,0.9576
Sep 26,Campus 17,0.045455,62400.0,147.3287,7.9803,3.1921,0.9576
Sep 26,Campus 18,0.045455,62400.0,147.3287,7.9803,3.1921,0.9576
Sep 26,Campus 19,0.045455,62400.0,147.3287,7.9803,3.1921,0.9576
Sep 26,Campus 20,0.045455,62400.0,147.3287,7.9803,3.1921,0.9576
Sep 26,Campus 21,0.045455,62400.0,147.3287,7.9803,3.1921,0.9576
Sep 26,Campus 22,0.045455,62400.0,147.3281,7.9804,3.1926,0.9584
Oct 26,Campus 1,0.045455,46800.0,110.4965,5.9852,2.3941,0.7182
Oct 26,Campus 2,0.045455,46800.0,110.4965,5.9852,2.3941,0.7182
Oct 26,Campus 3,0.045455,46800.0,110.4965,5.9852,2.3941,0.7182
Oct 26,Campus 4,0.045455,46800.0,110.4965,5.9852,2.3941,0.7182
Oct 26,Campus 5,0.045455,46800.0,110.4965,5.9852,2.3941,0.7182
Oct 26,Campus 6,0.045455,46800.0,110.4965,5.9852,2.3941,0.7182
Oct 26,Campus 7,0.045455,46800.0,110.4965,5.9852,2.3941,0.7182
Oct 26,Campus 8,0.045455,46800.0,110.4965,5.9852,2.3941,0.7182
Oct 26,Campus 9,0.045455,46800.0,110.4965,5.9852,2.3941,0.7182
Oct 26,Campus 10,0.045455,46800.0,110.4965,5.9852,2.3941,0.7182
Oct 26,Campus 11,0.045455,46800.0,110.4965,5.9852,2.3941,0.7182
Oct 26,Campus 12,0.045455,46800.0,110.4965,5.9852,2.3941,0.7182
Oct 26,Campus 13,0.045455,46800.0,110.4965,5.9852,2.3941,0.7182
Oct 26,Campus 14,0.045455,46800.0,110.4965,5.9852,2.3941,0.7182
Oct 26,Campus 15,0.045455,46800.0,110.4965,5.9852,2.3941,0.7182
Oct 26,Campus 16,0.045455,46800.0,110.4965,5.9852,2.3941,0.7182
Oct 26,Campus 17,0.045455,46800.0,110.4965,5.9852,2.3941,0.7182
Oct 26,Campus 18,0.045455,46800.0,110.4965,5.9852,2.3941,0.7182
Oct 26,Campus 19,0.045455,46800.0,110.4965,5.9852,2.3941,0.7182
Oct 26,Campus 20,0.045455,46800.0,110.4965,5.9852,2.3941,0.7182
Oct 26,Campus 21,0.045455,46800.0,110.4965,5.9852,2.3941,0.7182
Oct 26,Campus 22,0.045455,46800.0,110.4966,5.9858,2.3939,0.7188
